model,dataset,accuracy,precision,recall,f1
DecisionTree,D1_Test,0.6666666666666666,0.3333333333333333,1.0,0.5
DecisionTree,D2_Test,0.5848623853211009,0.03260869565217391,0.6666666666666666,0.06217616580310881
SVM,D1_Test,0.16666666666666666,0.16666666666666666,1.0,0.2857142857142857
SVM,D2_Test,0.02981651376146789,0.020833333333333332,1.0,0.04081632653061224
MLP,D1_Test,0.6666666666666666,0.3333333333333333,1.0,0.5
MLP,D2_Test,0.5068807339449541,0.018691588785046728,0.4444444444444444,0.03587443946188341
MLP_FineTuned,D2_Test,0.6353211009174312,0.02531645569620253,0.4444444444444444,0.04790419161676647
